,ENTITY,ACTUAL YEAR,RECORDS LOST,ORGANISATION,METHOD OF LEAK,DATA SENSITIVITY
154,ssndob.ms,2013,4000000,web,hacked,20
155,Advocate Medical Group,2013,4000000,healthcare,lost / stolen device,20
156,SnapChat,2013,4700000,"web, tech",hacked,20
157,Facebook,2013,6000000,web,accidentally published,1
158,Yahoo Japan,2013,22000000,"tech, web",hacked,1
159,Adobe,2013,36000000,tech,hacked,50000
160,Evernote,2013,50000000,web,hacked,1
161,Living Social,2013,50000000,web,hacked,1
163,Yahoo,2013,1000000000,web,hacked,20
164,Tumblr,2013,65000000,web,hacked,1
165,New York Taxis,2014,52000,transport,poor security,1
166,NASDAQ,2014,500000,financial,hacked,1
167,Dominios Pizzas (France),2014,600000,web,hacked,1
168,Japan Airlines,2014,750000,transport,hacked,20
169,Mozilla,2014,76000,web,poor security,20
170,MacRumours.com,2014,860000,web,hacked,1
171,"D&B, Altegrity",2014,1000000,tech,hacked,300
172,Neiman Marcus,2014,1100000,retail,hacked,20
173,Staples,2014,1160000,retail,hacked,300
174,European Central Bank,2014,4000000,financial,hacked,1
175,UPS,2014,4000000,retail,hacked,300
176,Community Health Systems,2014,4500000,healthcare,hacked,20
177,"""Gmail""",2014,5000000,web,hacked,1
178,Sony Pictures,2014,10000000,media,hacked,20
179,Twitch.tv,2014,10000000,healthcare,hacked,1
180,Korea Credit Bureau,2014,20000000,financial,inside job,50000
181,AOL,2014,2400000,web,hacked,1
182,Home Depot,2014,56000000,retail,hacked,300
183,Target,2014,70000000,retail,hacked,300
184,JP Morgan Chase,2014,76000000,financial,hacked,300
185,Ebay,2014,145000000,web,hacked,1
186,Yahoo,2014,500000000,web,hacked,20
187,Invest Bank,2015,40000,financial,hacked,50000
188,Uber,2015,50000,tech,poor security,1
189,IRS,2015,100000,government,hacked,1
190,TalkTalk,2015,157000,web,hacked,20
191,MSpy,2015,400000,tech,hacked,20
192,Australian Immigration Department,2015,500000,government,accidentally published,50000
193,British Airways,2015,500000,retail,hacked,1
194,Hacking Team,2015,500000,web,hacked,50000
195,Slack,2015,500000,tech,hacked,1
196,Carefirst,2015,1100000,healthcare,hacked,1
197,CarPhone Warehouse,2015,2700000,web,hacked,50000
198,Sanrio,2015,3300000,web,poor security,20
199,Adult Friend Finder,2015,3900000,web,hacked,1
200,US Office of Personnel Management,2015,4000000,government,hacked,20
201,VTech,2015,6400000,web,hacked,50000
202,Premera,2015,11000000,healthcare,hacked,50000
203,Kromtech,2015,13000000,web,hacked,1
204,Experian / T-mobile,2015,15000000,web,hacked,300
205,US Office of Personnel Management (2nd Breach),2015,21500000,government,hacked,50000
206,AshleyMadison.com,2015,37000000,web,hacked,1
207,Securus Technologies,2015,70000000,web,hacked,50000
208,Deep Root Analytics,2015,198000000,web,poor security,20
209,Syrian government,2016,274477,government,hacked,1
210,Minecraft,2016,7000000,web,hacked,1
211,Mossack Fonseca,2016,11500000,legal,hacked,50000
212,Mail. ru,2016,25000000,web,hacked,20
213,Fling,2016,40000000,web,hacked,4000
214,Turkish citizenship database,2016,49611709,government,hacked,20
215,Philippines’ Commission on Elections,2016,55000000,government,hacked,50000
216,Anthem ,2016,80000000,healthcare,hacked,20
217,VK,2016,100544934,web,hacked,4000
218,Wendy's,2016,1025,retail,hacked,300
219,Mutuelle Generale de la Police,2016,112000,healthcare,inside job,50000
220,MySpace,2016,164000000,web,hacked,1
221,Linux Ubuntu forums,2016,2000000,web,hacked,1
