Date,Open,High,Low,Close,Volume,dates
3/10/17,133.16,133.35,132.38,133.26,577563,3/10/17
3/13/17,133.38,133.6,132.64,133.38,542841,3/13/17
3/14/17,132.88,134,132.54,133.49,640045,3/14/17
3/15/17,133.62,135.51,133.3,135.19,612595,3/15/17
3/16/17,135.25,136.1,134.79,135.04,871649,3/16/17
3/17/17,134.93,136.17,134.79,136.12,855033,3/17/17
3/20/17,136.36,136.36,135.11,135.7,502531,3/20/17
3/21/17,135.79,135.92,133.94,135.1,1667407,3/21/17
3/22/17,135.55,137.76,135.06,136.98,1180479,3/22/17
3/23/17,136.98,137.42,135.3,135.64,600105,3/23/17
3/24/17,135.73,136.96,135.36,135.93,335040,3/24/17
3/27/17,134.96,136.2,134.04,135.55,355681,3/27/17
3/28/17,135.3,136.89,134.85,136.29,458340,3/28/17
3/29/17,135.76,136.14,134.67,135.68,685973,3/29/17
3/30/17,135.94,136.59,135.24,136.56,1054308,3/30/17
3/31/17,136.22,137.38,135.76,136.74,620729,3/31/17
4/3/17,136.65,136.98,135.05,136.1,725337,4/3/17
4/4/17,135.99,136.36,135.06,135.81,391781,4/4/17
4/5/17,136,137.94,135.82,136.4,868223,4/5/17
4/6/17,136.24,136.43,135.07,136.07,307820,4/6/17
4/7/17,135.87,136.55,135.26,136.22,409855,4/7/17
4/10/17,136.21,136.67,135.37,135.59,496522,4/10/17
4/11/17,135.37,135.74,134.71,135.74,405226,4/11/17
4/12/17,135.06,135.75,134.78,135.31,389139,4/12/17
4/13/17,135.12,136.3,134.75,134.86,327364,4/13/17
4/17/17,135.38,137.03,134.76,137.03,380052,4/17/17
4/18/17,136.85,137.82,136.85,137.29,539374,4/18/17
4/19/17,137.27,137.76,136.38,136.4,565179,4/19/17
4/20/17,136.56,137.71,136.25,137.31,493795,4/20/17
4/21/17,137.49,137.96,136.94,137.33,482265,4/21/17
4/24/17,138.15,139.36,137.77,139.24,668884,4/24/17
4/25/17,139.44,139.87,138.94,139.47,575298,4/25/17
4/26/17,139.34,139.89,138.46,138.74,625122,4/26/17
4/27/17,133,137.2,131.62,136.19,1593899,4/27/17
4/28/17,135.37,136.54,134.18,135.31,1177889,4/28/17
5/1/17,135.99,136.16,134.44,135,946358,5/1/17
5/2/17,135.09,136.48,134.75,136.48,656953,5/2/17
5/3/17,136.2,136.73,135.88,136.08,589189,5/3/17
5/4/17,136.05,137.05,136,136.86,507958,5/4/17
5/5/17,137.13,138.94,136.79,138.81,514106,5/5/17
5/8/17,139.18,139.5,137.04,137.23,416243,5/8/17
5/9/17,136.99,137.67,135.51,135.87,451399,5/9/17
5/10/17,135.93,136.82,135.37,135.91,366648,5/10/17
5/11/17,135.8,135.87,134.74,135.65,300556,5/11/17
5/12/17,135.57,135.57,134.56,135.05,297377,5/12/17
5/15/17,135.12,136.74,134.63,136.63,464467,5/15/17
5/16/17,137,137.53,135.15,135.68,303190,5/16/17
5/17/17,134.68,135.13,134.21,134.23,526847,5/17/17
5/18/17,134.36,136.25,133.49,135.27,568292,5/18/17
5/19/17,135.52,137.44,135.38,136.37,717165,5/19/17
5/22/17,137.19,137.76,136.29,137.3,515555,5/22/17
5/23/17,136.93,137.16,136.22,136.76,396157,5/23/17
5/24/17,136.75,137.32,135.76,136.39,558099,5/24/17
5/25/17,137.11,137.82,136.79,137.13,604437,5/25/17
5/26/17,137.1,137.9,136.06,136.43,324937,5/26/17
5/30/17,136.3,136.88,135.34,136.71,622356,5/30/17
5/31/17,137.06,137.29,136.23,136.8,721537,5/31/17
6/1/17,137,138,136.07,137.89,577591,6/1/17
6/2/17,138,138.84,137.33,137.61,422096,6/2/17
6/5/17,137.38,138.65,137.05,138.16,458894,6/5/17
6/6/17,137.84,138.83,137.12,137.13,563814,6/6/17
6/7/17,137.51,138.15,136.89,137.38,350588,6/7/17
6/8/17,137.38,137.41,134.51,135.45,635716,6/8/17
6/9/17,135.48,136.4,134.67,135.52,384515,6/9/17
6/12/17,135.36,137.39,134.99,136.83,560006,6/12/17
6/13/17,137.55,140.86,137.37,140.34,706649,6/13/17
6/14/17,140.9,142.04,140.32,141.01,726918,6/14/17
6/15/17,139.98,141.75,139.45,141.62,482098,6/15/17
6/16/17,141.75,143.09,141.25,142.58,939304,6/16/17
6/19/17,143.31,144.01,141.46,141.8,785371,6/19/17
6/20/17,141.33,141.68,139.11,139.56,697056,6/20/17
6/21/17,139.99,139.99,137.79,139.03,471694,6/21/17
6/22/17,139.06,139.15,137.53,138.93,422930,6/22/17
6/23/17,138.82,139.62,138.11,139.39,588824,6/23/17
6/26/17,139.71,140.36,138.86,139.43,252067,6/26/17
6/27/17,139,139.56,137.89,138.35,291312,6/27/17
6/28/17,139.12,139.97,138.16,139.51,504746,6/28/17
6/29/17,139.25,139.42,135.92,137.15,399018,6/29/17
6/30/17,138.16,138.35,137.23,137.42,625878,6/30/17
7/3/17,137.9,138.89,137.17,138.01,261422,7/3/17
7/5/17,137.68,139.75,137.45,139.55,559233,7/5/17
7/6/17,138.56,138.56,136.66,137.22,784131,7/6/17
7/7/17,137.89,139.45,137.88,138.37,519105,7/7/17
7/10/17,138.38,139.25,137.55,139,341151,7/10/17
7/11/17,138.99,139.45,138.24,138.93,387854,7/11/17
7/12/17,139.91,140.56,139.57,139.8,480276,7/12/17
7/13/17,139.98,140.32,138.96,139.13,416434,7/13/17
7/14/17,139.36,140.12,139.36,139.77,277200,7/14/17
7/17/17,139.67,140.68,139.38,140.06,363691,7/17/17
7/18/17,139.4,141.52,139.07,141.52,427929,7/18/17
7/19/17,141.72,142.88,141.17,142.72,477702,7/19/17
7/20/17,143.03,143.47,142.14,142.99,466649,7/20/17
7/21/17,142.62,144.37,142.62,143.89,268700,7/21/17
7/24/17,143.64,144.76,143.34,144.52,548668,7/24/17
7/25/17,145.35,145.35,144.16,144.8,483846,7/25/17
7/26/17,145.21,147.02,144.76,146.21,692244,7/26/17
