,date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause
228,2000-08-23,Airbus A320-212,near Bahrain International Airport,Bahrain,A4O-EK,Gulf Air,143,70,A1,approach,confirmed,human_error,pilot error
229,2000-09-04,Beechcraft 200 Super King Air,"near Burketown, QLD",Australia,VH-SKC,Central Air,8,24,A1,en_route,confirmed,mechanical,mechanical failure
230,2000-09-27,Boeing 737,Jinan Airport,China,,China Xinhua Airlines,1,15,H2,en_route,confirmed,criminal,hijack
231,2000-10-19,Harbin Yunshuji Y-12-II,near Sam Neua,Laos,RDPL-34130,Lao Aviation,8,24,A1,approach,probable,weather,bad weather
232,2000-10-31,Boeing 747-412,Taipei-Chiang Kai Shek Airport,Taiwan,9V-SPK,Singapore Airlines,83,56,A1,take off,confirmed,human_error,crew errors
233,2000-11-07,Antonov 32B,Luabo Airport,Congo,ER-AFA,"Renan, operating for Malu Aviation",2,17,A1,take off,confirmed,mechanical,mechnical failure
234,2000-11-15,Antonov 26,near Luanda-4 de Fevereiro Airport ,Angola,D2-FCG,ASA Pesada,57,48,A1,take off,probable,mechanical,mechnical failure
235,2001-01-25,Douglas C-47A-65-DL (DC-3C),Ciudad Bolívar,Venezuela,YV-224C,Rutaca,24,34,A1,en_route,suspected,mechanical,engine failure
236,2001-02-10,GAF Nomad N.24A,near Jacobcondre,Suriname,PZ-TBP,Gum Air,10,26,A1,ap,suspected,human_error,pilot error
237,2001-03-17,Beechcraft 1900C-1,Quilemba,Angola,S9-CAE,SAL Express,16,30,A1,approach,suspected,weather,low visibility
238,2001-03-24,de Havilland Canada DHC-6 Twin Otter 300,Saint-Barthélémy,Guadeloupe,F-OGES,Air Caraïbes,20,32,A1,approach,suspected,human_error,pilot error
239,2001-03-29,Gulfstream Aerospace G-1159 Gulfstream III,"near Aspen Airport, CO",USA,N303GA,Avjet Corp,18,31,A1,approach,suspected,weather,bad weather
240,2001-05-17,Yakovlev 40,near Sari,Iran,EP-TQP,Faraz Qeshm,30,37,A1,en_route,suspected,weather,bad weather
241,2001-07-04,Tupolev 154M,near Burdakovka,Russia,RA-85845,Vladivostokavia,145,70,A1,approach,probable,human_error,pilot error
242,2001-08-23,Antonov 28,Mugogo,DR Congo,3C-LLA,Victoria Air,4,20,A1,en_route,suspected,human_error,overloaded
243,2001-08-29,CASA CN-235-200,Malaga Airport,Spain,EC-FBC,Binter Méditerraneo,4,20,A1,approach,suspected,mechanical,mechanical failure
244,2001-09-11,Boeing 757-222,"near Shanksville, PA",USA,N591UA,United Airlines,44,43,H1,en_route,confirmed,criminal,intentionally crashed
245,2001-09-11,Boeing 757-223,"Washington, DC",USA,N644AA,American Airlines,189,79,H1,en_route,confirmed,criminal,intentionally crashed
246,2001-09-11,Boeing 767-222,"New York, NY",USA,N612UA,United Airlines,965,165,H1,en_route,confirmed,criminal,intentionally crashed
